Log started

PASS | School: 1 | User: 1 | test055.sjava
PASS | School: 0 | User: 0 | test056.sjava
PASS | School: 1 | User: 1 | test057.sjava
PASS | School: 0 | User: 0 | test058.sjava
PASS | School: 0 | User: 0 | test059.sjava
PASS | School: 1 | User: 1 | test061.sjava
PASS | School: 1 | User: 1 | test062.sjava
PASS | School: 1 | User: 1 | test063.sjava
PASS | School: 1 | User: 1 | test064.sjava
PASS | School: 1 | User: 1 | test065.sjava
PASS | School: 1 | User: 1 | test066.sjava
PASS | School: 1 | User: 1 | test067.sjava
PASS | School: 1 | User: 1 | test101.sjava
PASS | School: 1 | User: 1 | test102.sjava
PASS | School: 1 | User: 1 | test103.sjava
PASS | School: 1 | User: 1 | test104.sjava
PASS | School: 1 | User: 1 | test105.sjava
FAIL | School: 0 | User: 1 | test106.sjava
FAIL | School: 0 | User: 1 | test107.sjava
FAIL | School: 0 | User: 1 | test108.sjava
FAIL | School: 0 | User: 1 | test109.sjava
FAIL | School: 0 | User: 1 | test110.sjava
FAIL | School: 0 | User: 1 | test111.sjava
FAIL | School: 0 | User: 1 | test112.sjava
FAIL | School: 0 | User: 1 | test113.sjava
PASS | School: 1 | User: 1 | test114.sjava
PASS | School: 1 | User: 1 | test115.sjava
PASS | School: 1 | User: 1 | test116.sjava
PASS | School: 1 | User: 1 | test117.sjava
FAIL | School: 0 | User: 1 | test201.sjava
FAIL | School: 0 | User: 1 | test202.sjava
FAIL | School: 0 | User: 1 | test203.sjava
FAIL | School: 0 | User: 1 | test204.sjava
PASS | School: 1 | User: 1 | test205.sjava
PASS | School: 1 | User: 1 | test206.sjava
PASS | School: 1 | User: 1 | test207.sjava
PASS | School: 1 | User: 1 | test208.sjava
FAIL | School: 0 | User: 1 | test209.sjava
FAIL | School: 0 | User: 1 | test211.sjava
FAIL | School: 0 | User: 1 | test212.sjava
FAIL | School: 0 | User: 1 | test213.sjava
FAIL | School: 0 | User: 1 | test214.sjava
FAIL | School: 0 | User: 1 | test215.sjava
PASS | School: 1 | User: 1 | test216.sjava
PASS | School: 1 | User: 1 | test217.sjava
PASS | School: 1 | User: 1 | test218.sjava
FAIL | School: 0 | User: 1 | test219.sjava
FAIL | School: 0 | User: 1 | test221.sjava
FAIL | School: 0 | User: 1 | test222.sjava
PASS | School: 1 | User: 1 | test223.sjava
PASS | School: 1 | User: 1 | test224.sjava
PASS | School: 1 | User: 1 | test225.sjava
PASS | School: 1 | User: 1 | test226.sjava
FAIL | School: 0 | User: 1 | test227.sjava
FAIL | School: 0 | User: 1 | test231.sjava
FAIL | School: 0 | User: 1 | test232.sjava
FAIL | School: 0 | User: 1 | test233.sjava
FAIL | School: 0 | User: 1 | test234.sjava
FAIL | School: 0 | User: 1 | test235.sjava
PASS | School: 1 | User: 1 | test236.sjava
PASS | School: 1 | User: 1 | test237.sjava
PASS | School: 1 | User: 1 | test238.sjava
FAIL | School: 0 | User: 1 | test239.sjava
FAIL | School: 0 | User: 1 | test241.sjava
FAIL | School: 0 | User: 1 | test242.sjava
FAIL | School: 0 | User: 1 | test243.sjava
PASS | School: 1 | User: 1 | test244.sjava
PASS | School: 1 | User: 1 | test245.sjava
PASS | School: 1 | User: 1 | test246.sjava
PASS | School: 1 | User: 1 | test247.sjava
PASS | School: 1 | User: 1 | test248.sjava
PASS | School: 1 | User: 1 | test249.sjava
PASS | School: 1 | User: 1 | test250.sjava
FAIL | School: 0 | User: 1 | test251.sjava
PASS | School: 1 | User: 1 | test252.sjava
FAIL | School: 0 | User: 1 | test253.sjava
PASS | School: 1 | User: 1 | test254.sjava
FAIL | School: 0 | User: 1 | test255.sjava
PASS | School: 1 | User: 1 | test257.sjava
PASS | School: 1 | User: 1 | test261.sjava
PASS | School: 1 | User: 1 | test262.sjava
PASS | School: 1 | User: 1 | test263.sjava
PASS | School: 1 | User: 1 | test264.sjava
PASS | School: 1 | User: 1 | test265.sjava
FAIL | School: 0 | User: 1 | test266.sjava
FAIL | School: 0 | User: 1 | test267.sjava
PASS | School: 1 | User: 1 | test268.sjava
PASS | School: 1 | User: 1 | test269.sjava
PASS | School: 1 | User: 1 | test270.sjava
PASS | School: 0 | User: 0 | test271.sjava
PASS | School: 1 | User: 1 | test272.sjava
PASS | School: 1 | User: 1 | test273.sjava
PASS | School: 1 | User: 1 | test274.sjava
FAIL | School: 0 | User: 1 | test291.sjava
FAIL | School: 0 | User: 1 | test301.sjava
FAIL | School: 0 | User: 1 | test302.sjava
FAIL | School: 0 | User: 1 | test303.sjava
FAIL | School: 0 | User: 1 | test305.sjava
PASS | School: 1 | User: 1 | test306.sjava
PASS | School: 1 | User: 1 | test307.sjava
PASS | School: 1 | User: 1 | test308.sjava
PASS | School: 1 | User: 1 | test309.sjava
PASS | School: 1 | User: 1 | test310.sjava
FAIL | School: 0 | User: 1 | test311.sjava
FAIL | School: 0 | User: 1 | test312.sjava
FAIL | School: 0 | User: 1 | test313.sjava
PASS | School: 1 | User: 1 | test314.sjava
FAIL | School: 0 | User: 1 | test315.sjava
PASS | School: 1 | User: 1 | test316.sjava
FAIL | School: 0 | User: 1 | test321.sjava
FAIL | School: 0 | User: 1 | test322.sjava
FAIL | School: 0 | User: 1 | test323.sjava
FAIL | School: 0 | User: 1 | test324.sjava
